sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_4875	EBF3	1617	4896	5177	929	4086	8630	7519	6547	5813	11975	29669	6055	1084	2979	2740	2800	3653	5387	6565	3455	3021	11439	10287	8154	4054	11905	11435	2706	4724	4672	4851	4061
s_695	HIVEP2	2183	4619	4472	1099	8009	5929	7291	4627	7267	6547	13698	6491	674	1312	1712	1471	6499	3937	5209	2560	5620	5255	7255	4166	7048	8055	3448	1856	4596	3446	3782	3504
s_374	ELF2	1880	5516	4188	929	3981	7749	5333	4056	4640	7226	25408	2442	631	1541	1555	1731	3134	5707	11845	2886	3771	8186	8313	8804	3064	14273	11158	1563	4470	6743	7878	5750
s_3181	ZBTB20	1227	3443	4356	711	2972	5049	4170	2661	2667	7105	9401	4289	726	1994	1805	1824	1460	3677	7886	2433	1649	5380	7730	3538	2754	4853	1630	955	2847	5369	6006	5599
s_4397	ZFP3	845	1971	1577	514	2055	9840	6059	4211	2909	5694	3915	2302	342	1085	1516	1138	1204	1879	4347	1208	1186	3660	7300	3288	1960	5122	4023	822	1712	1999	1692	2345
s_42	ARNT	1543	4149	6561	811	3968	6847	10558	3161	4440	9685	18548	5398	663	1496	1786	1558	3080	8779	17725	3951	3425	7010	12666	3626	3983	11937	9950	2066	3998	7216	10798	4685
s_5465	Non-Targeting Control	1598	3987	6770	744	3629	7860	5410	4213	2245	6844	14305	4315	526	1658	2001	2103	3166	5941	11901	2687	3894	6605	9570	4073	2453	8827	7450	1883	3553	4285	6510	5326
s_3474	ELP2	2291	7425	6081	1320	6465	8950	7619	5534	11925	16658	54002	13067	1591	4990	4052	3429	3939	9737	13440	3223	5939	12997	15104	8035	4884	12881	11753	2020	4830	6817	7999	6260
s_2468	ZNF214	2404	6507	4396	1198	4011	8642	7924	5798	4544	8488	13648	4058	1089	1940	2950	1997	3602	14898	16235	5362	4906	6754	10583	4030	4613	9676	9781	1675	5337	4834	7074	4720
s_5840	Non-Targeting Control	2665	8641	9206	1584	7992	15757	10565	6255	5491	20411	23519	6926	1220	2778	3845	2312	3544	9270	16294	3439	6643	11559	15508	12006	5382	15660	10315	3171	4867	7851	14512	7120
